--------------+----------------------------------------------
 Host IP      | 127.0.1.1
 PyTorch      | 2.4.0a0+git4451b0e
 Torch-SDAA   | 2.0.0
--------------+----------------------------------------------
 SDAA Driver  | 2.2.0 (N/A)
 SDAA Runtime | 2.0.0 (/opt/tecoai/lib64/libsdaart.so)
 SDPTI        | 1.3.1 (/opt/tecoai/lib64/libsdpti.so)
 TecoDNN      | 2.0.0 (/opt/tecoai/lib64/libtecodnn.so)
 TecoBLAS     | 2.0.0 (/opt/tecoai/lib64/libtecoblas.so)
 CustomDNN    | 1.22.0 (/opt/tecoai/lib64/libtecodnn_ext.so)
 TecoRAND     | 1.8.0 (/opt/tecoai/lib64/libtecorand.so)
 TCCL         | 1.21.0 (/opt/tecoai/lib64/libtccl.so)
--------------+----------------------------------------------
train Pnet argument:
Namespace(annotation_file='/data/application/huangyun/dface/anno_store/imglist_anno_12.txt', model_store_path='/data/application/huangyun/dface/model_store', end_epoch=10, frequent=1, lr=0.01, batch_size=512, use_cuda=True, **{'': None})
append flipped images to imdb 1498328
2025-09-03 06:47:45.290876 : Epoch: 1, Step: 27, accuracy: 0.7046979665756226, det loss: 0.6741911768913269, bbox loss: 2.761619806289673, all_loss: 2.0550010204315186, lr:0.01 
2025-09-03 06:47:45.312913 : Epoch: 1, Step: 28, accuracy: 0.704049825668335, det loss: 0.6372519731521606, bbox loss: 1.4814931154251099, all_loss: 1.3779985904693604, lr:0.01 
2025-09-03 06:47:45.334587 : Epoch: 1, Step: 29, accuracy: 0.7626582384109497, det loss: 0.5695728063583374, bbox loss: 1.8530166149139404, all_loss: 1.4960811138153076, lr:0.01 
2025-09-03 06:47:45.356350 : Epoch: 1, Step: 30, accuracy: 0.7363635897636414, det loss: 0.5953407883644104, bbox loss: 2.08162522315979, all_loss: 1.6361534595489502, lr:0.01 
2025-09-03 06:47:45.378006 : Epoch: 1, Step: 31, accuracy: 0.7363635897636414, det loss: 0.5338189601898193, bbox loss: 2.0067200660705566, all_loss: 1.5371789932250977, lr:0.01 
2025-09-03 06:47:45.401140 : Epoch: 1, Step: 32, accuracy: 0.7962382435798645, det loss: 0.5427910089492798, bbox loss: 1.9321237802505493, all_loss: 1.5088529586791992, lr:0.01 
2025-09-03 06:47:45.422876 : Epoch: 1, Step: 33, accuracy: 0.7485207319259644, det loss: 0.6009177565574646, bbox loss: 1.5805630683898926, all_loss: 1.3911993503570557, lr:0.01 
2025-09-03 06:47:45.444602 : Epoch: 1, Step: 34, accuracy: 0.7355623245239258, det loss: 0.6081042885780334, bbox loss: 0.8970604538917542, all_loss: 1.056634545326233, lr:0.01 
2025-09-03 06:47:45.466292 : Epoch: 1, Step: 35, accuracy: 0.782608687877655, det loss: 0.513907253742218, bbox loss: 0.7699375152587891, all_loss: 0.8988760113716125, lr:0.01 
2025-09-03 06:47:45.488122 : Epoch: 1, Step: 36, accuracy: 0.7289156317710876, det loss: 0.5872287750244141, bbox loss: 0.7747316956520081, all_loss: 0.9745945930480957, lr:0.01 
