epoch,lr,loss,acc1,acc5,val_loss,val_acc1,val_acc5
0,0.1,6.859647458953858,1.6959999989318848,6.99200000366211,2526.275064453125,1.03,4.69
1,0.1,4.987636309661865,4.608000002441406,17.16800000732422,4.762437693786621,3.95,18.77
2,0.1,4.4792453729248045,6.400000003662109,23.199999990234375,4.077155575561523,6.48,23.69
3,0.1,4.14948003616333,9.087999996643067,27.519999978637696,4.048500495147705,7.8,26.77
4,0.1,3.9052280878448484,10.864000007324218,32.687999992675785,3.7318503868103026,12.18,35.43
5,0.1,3.807268836364746,12.240000000305177,34.81599997558594,3.737983312225342,12.0,34.69
6,0.1,3.683415074310303,14.271999986572265,38.19199999389649,3.5802914848327636,14.24,40.14
7,0.1,3.5464720026397707,16.319999986572267,42.031999974365235,3.466821943664551,16.61,43.59
8,0.1,3.3931724005126953,18.687999996948243,45.56799999633789,3.3447010578155516,19.6,46.51
9,0.1,3.3153112693023683,19.10400000732422,47.18399997924805,3.2365598518371583,20.99,49.69
10,0.1,3.2155615995788573,21.263999998168945,49.823999958496096,3.202466682815552,22.16,50.63
11,0.1,3.122438467254639,23.264000001831054,51.95199998291016,3.158794261932373,22.97,51.42
12,0.1,3.0606682710266115,24.256000009765625,53.95200001953125,3.097805485534668,23.98,53.01
13,0.1,2.97533949180603,25.583999999389647,55.47200000366211,3.0220707473754884,25.89,54.68
14,0.1,2.974805772705078,25.903999978637696,56.11199995605469,3.030429203033447,25.31,54.72
15,0.1,2.9206496160125734,27.536000009765626,57.40800000122071,2.943859146118164,27.52,56.74
16,0.1,2.7881455352783204,29.18399999938965,60.592000007324216,2.8993074127197267,28.24,57.88
17,0.1,2.7601227012634277,29.31199999267578,60.81600000732422,2.9305366138458253,27.8,57.5
18,0.1,2.7341030462646483,30.144000001831056,61.55199998413086,2.8663182399749756,29.25,58.65
19,0.1,2.660849288482666,31.887999978637694,63.3760000012207,2.8345717002868653,29.5,59.6
20,0.1,2.627887831954956,32.47999997192383,64.28800000488282,2.8241048706054688,29.55,59.7
21,0.1,2.5800197856903075,33.69599997070313,65.39199996337891,2.792561492919922,30.61,60.6
22,0.1,2.5571355464172365,34.111999999389646,65.48800000244141,2.747777674102783,31.96,61.64
23,0.1,2.5065048623657225,34.83199997192383,67.039999921875,2.831162558746338,30.06,60.05
24,0.1,2.481289648666382,36.207999975585935,67.66399996826172,2.744737300872803,31.85,62.03
25,0.1,2.373070424194336,37.29600001586914,70.17599994384766,2.7018850231170655,32.13,63.45
26,0.1,2.3259580364990233,38.49599999633789,71.79200000976563,2.707530075073242,32.96,62.61
27,0.1,2.3004042656707764,39.35999997070312,71.6959999658203,2.7529396800994874,33.13,62.66
28,0.1,2.2618481243133544,40.23999999755859,72.70399994384766,2.7287599460601806,33.12,62.61
29,0.1,2.198631274642944,42.00000001586914,73.263999921875,2.7012635540008545,33.69,63.95
30,0.1,2.1542888801574707,41.80799999389649,74.68799998413085,2.699650140762329,33.56,63.75
31,0.1,2.082530685272217,43.39200001708984,76.30399999023437,3.483898829650879,32.3,62.7
32,0.1,2.1948109381103516,41.16800001586914,73.92000000976563,2.7107898849487304,33.95,64.11
33,0.1,2.047215146484375,44.368,77.15199999267578,2.7223662586212156,33.59,63.5
34,0.1,1.9970192385864258,45.679999997558596,78.22400003173829,2.7914973625183106,33.97,63.34
35,0.1,1.9030851262283326,47.695999958496095,79.48800001220702,2.7154369998931887,34.82,64.86
36,0.1,1.8700640602111815,48.35200001953125,80.7839999243164,2.7149713146209717,34.48,64.85
37,0.1,1.8398881313323974,49.05600001953125,81.1520000341797,2.693138335418701,35.83,65.23
38,0.1,1.7677624045562743,50.20799995727539,82.35200001220703,2.827562461090088,34.71,64.3
39,0.1,1.7137263919067383,51.59999997802734,83.13599992919922,2.7039209575653076,35.86,65.05
40,0.1,1.6358211113357544,53.24799997680664,84.78400001464844,2.9021265731811523,35.51,64.69
41,0.1,1.6012202826309203,54.62399995727539,85.43999999023437,2.820758208465576,34.88,64.53
42,0.1,1.5344138922119142,56.49599995605469,86.19199994873047,2.8272252475738524,34.75,64.5
43,0.1,1.5014777885818482,56.38399997558594,87.48800003662109,2.8198041999816894,36.15,65.59
44,0.1,1.4567266185379029,57.28000000366211,88.41600001464843,2.8766593799591065,36.17,64.77
45,0.1,1.3678207322311402,59.935999979248045,89.63199992919922,3.0359710956573487,34.59,64.35
46,0.1,1.3552883071899413,60.06399998046875,89.93599999511719,2.9163436958312987,35.08,64.25
47,0.1,1.2887309811782837,61.80799998046875,90.79999995117187,3.1797571723937987,33.98,63.31
48,0.1,1.2845416917419434,61.58399998046875,91.2799999951172,2.9015290351867677,36.37,64.78
49,0.1,1.1717124883651733,64.6720000036621,92.25599995117187,3.212284469604492,35.02,64.05
50,0.1,1.150843041038513,65.39199998168945,92.09600001708985,2.899502332687378,37.46,65.92
51,0.1,1.1012932954788208,67.26399994140625,93.24799993164062,2.9310955383300783,37.56,66.09
52,0.1,1.013149765625,68.95999998535156,94.49599997558593,3.0281860443115236,37.02,65.48
53,0.1,0.9446939170074463,71.42400000732422,95.23199995361328,3.0796322551727293,36.31,65.51
54,0.1,0.9081606372070312,71.53600000488281,95.7440000390625,3.0355348861694336,37.04,65.63
55,0.1,0.8851316211891175,72.52799998779297,96.08000001953125,3.0767751972198485,36.99,64.81
56,0.1,0.8472203204727173,73.8719999609375,96.27199993408203,3.074778746032715,36.95,65.41
57,0.1,0.815503769569397,74.94400002929687,96.2400000390625,3.0404796562194822,37.57,66.29
58,0.1,0.7557810783386231,77.50399997070312,96.76799993408203,3.026945475769043,37.84,66.5
59,0.1,0.7204585261154175,77.0399999621582,97.40799999755859,3.1654929016113282,37.2,65.53
60,0.1,0.6924110098838806,78.89599998779296,97.6319999975586,3.184662657165527,36.52,65.24
