Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.8586415009734071,0.08869082697747666,0.522435982874882,0.3810774932672948,10.694138288101422,0.26272552005946637
2,0.4454452580139961,0.0899107058291082,0.7670476285027868,0.21249288613045658,10.690986296571621,0.19860522489994764
3,0.26290191099231625,0.08680277619464898,0.859725491941711,0.12262740411140301,10.627673446775143,0.16765376713126898
4,0.23012366578166868,0.0890564066944299,0.8755313211017185,0.1056549851173236,10.622364926126677,0.1659553361684084
5,0.13412917193807203,0.09077483904950413,0.928498473285157,0.06262764404585332,10.630536800542739,0.16807262010872365
6,0.10212454839069167,0.08690740136820593,0.9419120728233714,0.044036621655578964,10.625969803494469,0.16662042297422885
7,0.07431285189993588,0.08903007913886765,0.954587087366316,0.028899939753759055,10.629615401511376,0.16808212373405695
8,0.07872090457398215,0.09014498832417123,0.9514556218076635,0.030176526239072837,10.632345713367002,0.16861927352845668
9,0.06444216879245676,0.08983939623023257,0.9690889911887086,0.03353115924530559,10.62418764830678,0.16680610470473767
10,0.05688440792354536,0.08724192487604825,0.9625238381786111,0.019408246309117035,10.630195060255936,0.16846593141555785
11,0.05216637170977063,0.08845101984930627,0.9714484422295182,0.0236148132517198,10.629041756961584,0.1673678819462657
12,0.05533136480752333,0.08619573677395596,0.9686048588635009,0.023936224112540115,10.625433333008145,0.16659335900098085
13,0.05871649281478222,0.08707376168465909,0.9610955167699743,0.01981200924212182,10.62933844205398,0.16759134240448476
14,0.06032209490184431,0.09136356188927168,0.9673309380625501,0.027653032913804054,10.631837603501385,0.16908950198441744
15,0.04255493601531158,0.0892415541925548,0.981417418114933,0.023972354424588473,10.633047086609642,0.16941894806921481
16,0.04341476767519374,0.08864020331774229,0.9786172360549739,0.022032003631286413,10.620577341445308,0.16514934293925762
17,0.04131447800699575,0.0865641775874444,0.9792339650201208,0.02054844346863252,10.610734610955177,0.16145085372030735
18,0.0507170333078614,0.08715046627653969,0.9752115604318219,0.025928593420044138,10.621951836886145,0.16534639980643986
19,0.040747967537170575,0.08715375288401121,0.9815298468978316,0.022277814386711444,10.628287770311196,0.1676963572576642
20,0.049127565655443406,0.08897887731407896,0.9724093106057908,0.021536876263533844,10.631154658898144,0.16940677534788848
21,0.04539593132557692,0.0890389879912506,0.9751820137471329,0.02057794518308875,10.630513158998781,0.16949870232492686
22,0.04044857558644848,0.08707157463571172,0.9770287270899172,0.01747730278674467,10.625579291099639,0.1670255756378174
23,0.033812038600444794,0.08716325419552533,0.9819395658410626,0.015751603981594982,10.621169336010167,0.1649265942722559
24,0.04300424839243477,0.08798330950516242,0.978738926075123,0.0217431742467998,10.6244739040519,0.16757991533726455
25,0.046265764240129494,0.0878661510201148,0.9705343461331026,0.01680011005129343,10.621367846138526,0.16567646529525518
