INFO train_amp.py(372): iter: 1/150000, lr: 0.000055, eta: 10 days, 21:30:11, time: 12.55, loss: 39.5439, loss_pre: 14.5387, loss_aux0: 3.8998, loss_aux1: 5.2154, loss_aux2: 7.5068, loss_aux3: 8.3832
INFO train_amp.py(372): iter: 2/150000, lr: 0.000055, eta: 11 days, 7:41:54, time: 7.01, loss: 39.6268, loss_pre: 14.1730, loss_aux0: 3.4689, loss_aux1: 4.3224, loss_aux2: 7.2915, loss_aux3: 10.3710
INFO train_amp.py(372): iter: 3/150000, lr: 0.000055, eta: 11 days, 8:05:22, time: 6.56, loss: 43.3266, loss_pre: 15.5219, loss_aux0: 3.6683, loss_aux1: 4.7039, loss_aux2: 8.1376, loss_aux3: 11.2949
INFO train_amp.py(372): iter: 4/150000, lr: 0.000056, eta: 11 days, 6:48:01, time: 6.38, loss: 43.2039, loss_pre: 16.0748, loss_aux0: 3.6100, loss_aux1: 4.4499, loss_aux2: 8.0959, loss_aux3: 10.9733
INFO train_amp.py(372): iter: 5/150000, lr: 0.000056, eta: 11 days, 4:48:32, time: 6.21, loss: 33.8075, loss_pre: 9.5563, loss_aux0: 3.6820, loss_aux1: 4.2425, loss_aux2: 7.4753, loss_aux3: 8.8513
INFO train_amp.py(372): iter: 6/150000, lr: 0.000056, eta: 11 days, 14:29:41, time: 8.08, loss: 31.3486, loss_pre: 10.0410, loss_aux0: 3.7116, loss_aux1: 4.6065, loss_aux2: 6.5600, loss_aux3: 6.4295
INFO train_amp.py(372): iter: 7/150000, lr: 0.000056, eta: 11 days, 22:46:19, time: 8.27, loss: 32.8571, loss_pre: 10.2964, loss_aux0: 3.7664, loss_aux1: 4.5560, loss_aux2: 7.2857, loss_aux3: 6.9527
INFO train_amp.py(372): iter: 8/150000, lr: 0.000056, eta: 12 days, 4:44:38, time: 8.17, loss: 34.6984, loss_pre: 11.8550, loss_aux0: 3.8299, loss_aux1: 4.4706, loss_aux2: 7.2010, loss_aux3: 7.3420
INFO train_amp.py(372): iter: 9/150000, lr: 0.000056, eta: 12 days, 9:16:25, time: 8.11, loss: 29.2696, loss_pre: 8.9744, loss_aux0: 3.6648, loss_aux1: 4.3014, loss_aux2: 6.5091, loss_aux3: 5.8198
INFO train_amp.py(372): iter: 10/150000, lr: 0.000056, eta: 12 days, 14:33:15, time: 8.53, loss: 35.0152, loss_pre: 13.7722, loss_aux0: 3.5539, loss_aux1: 4.3153, loss_aux2: 6.3417, loss_aux3: 7.0322
INFO train_amp.py(372): iter: 11/150000, lr: 0.000056, eta: 12 days, 13:56:45, time: 7.09, loss: 32.1475, loss_pre: 8.8645, loss_aux0: 3.2082, loss_aux1: 4.0784, loss_aux2: 7.3047, loss_aux3: 8.6917
INFO train_amp.py(372): iter: 12/150000, lr: 0.000057, eta: 12 days, 13:14:09, time: 7.03, loss: 37.3027, loss_pre: 11.7711, loss_aux0: 4.0730, loss_aux1: 4.1637, loss_aux2: 7.6229, loss_aux3: 9.6720
INFO train_amp.py(372): iter: 13/150000, lr: 0.000057, eta: 12 days, 13:48:45, time: 7.42, loss: 35.0713, loss_pre: 11.5772, loss_aux0: 3.7271, loss_aux1: 4.2208, loss_aux2: 7.2090, loss_aux3: 8.3372
INFO train_amp.py(372): iter: 14/150000, lr: 0.000057, eta: 12 days, 14:44:33, time: 7.58, loss: 32.3704, loss_pre: 9.3967, loss_aux0: 3.4530, loss_aux1: 4.1780, loss_aux2: 5.8186, loss_aux3: 9.5241
INFO train_amp.py(372): iter: 15/150000, lr: 0.000057, eta: 12 days, 14:43:25, time: 7.26, loss: 31.1149, loss_pre: 10.2392, loss_aux0: 3.5120, loss_aux1: 4.0976, loss_aux2: 6.2047, loss_aux3: 7.0613
INFO train_amp.py(372): iter: 16/150000, lr: 0.000057, eta: 12 days, 15:07:44, time: 7.43, loss: 32.1957, loss_pre: 11.1917, loss_aux0: 3.6262, loss_aux1: 4.2136, loss_aux2: 5.7867, loss_aux3: 7.3777
INFO train_amp.py(372): iter: 17/150000, lr: 0.000057, eta: 12 days, 15:33:36, time: 7.46, loss: 33.8273, loss_pre: 11.9933, loss_aux0: 3.6191, loss_aux1: 3.9144, loss_aux2: 5.8920, loss_aux3: 8.4085
INFO train_amp.py(372): iter: 18/150000, lr: 0.000057, eta: 12 days, 15:56:44, time: 7.46, loss: 35.9413, loss_pre: 12.4244, loss_aux0: 3.8698, loss_aux1: 4.2038, loss_aux2: 5.9056, loss_aux3: 9.5377
INFO train_amp.py(372): iter: 19/150000, lr: 0.000057, eta: 12 days, 15:06:03, time: 6.89, loss: 35.4019, loss_pre: 13.4746, loss_aux0: 3.6855, loss_aux1: 3.8503, loss_aux2: 5.6586, loss_aux3: 8.7329
INFO train_amp.py(372): iter: 20/150000, lr: 0.000058, eta: 12 days, 13:33:55, time: 6.50, loss: 34.1098, loss_pre: 11.5878, loss_aux0: 4.0125, loss_aux1: 4.3829, loss_aux2: 5.5092, loss_aux3: 8.6175
INFO train_amp.py(372): iter: 21/150000, lr: 0.000058, eta: 12 days, 12:20:16, time: 6.59, loss: 36.5523, loss_pre: 14.2793, loss_aux0: 3.5808, loss_aux1: 3.5557, loss_aux2: 5.9022, loss_aux3: 9.2342
INFO train_amp.py(372): iter: 22/150000, lr: 0.000058, eta: 12 days, 13:41:34, time: 7.96, loss: 32.3841, loss_pre: 10.6534, loss_aux0: 3.6738, loss_aux1: 4.0300, loss_aux2: 5.0360, loss_aux3: 8.9909
INFO train_amp.py(372): iter: 23/150000, lr: 0.000058, eta: 12 days, 14:15:08, time: 7.57, loss: 31.0471, loss_pre: 10.2123, loss_aux0: 3.5926, loss_aux1: 3.8743, loss_aux2: 4.6703, loss_aux3: 8.6976
INFO train_amp.py(372): iter: 24/150000, lr: 0.000058, eta: 12 days, 15:05:03, time: 7.76, loss: 31.0325, loss_pre: 11.3871, loss_aux0: 3.4639, loss_aux1: 3.7644, loss_aux2: 4.7712, loss_aux3: 7.6459
INFO train_amp.py(372): iter: 25/150000, lr: 0.000058, eta: 12 days, 15:32:26, time: 7.56, loss: 36.8460, loss_pre: 16.4809, loss_aux0: 4.0483, loss_aux1: 4.0606, loss_aux2: 4.6768, loss_aux3: 7.5795
INFO train_amp.py(372): iter: 26/150000, lr: 0.000058, eta: 12 days, 16:23:26, time: 7.84, loss: 30.2967, loss_pre: 9.7816, loss_aux0: 3.6021, loss_aux1: 3.5367, loss_aux2: 5.3349, loss_aux3: 8.0414
INFO train_amp.py(372): iter: 27/150000, lr: 0.000059, eta: 12 days, 16:19:06, time: 7.26, loss: 31.3714, loss_pre: 11.5413, loss_aux0: 3.6747, loss_aux1: 3.7300, loss_aux2: 4.1946, loss_aux3: 8.2308
INFO train_amp.py(372): iter: 28/150000, lr: 0.000059, eta: 12 days, 15:51:51, time: 6.99, loss: 28.3773, loss_pre: 8.4726, loss_aux0: 3.6990, loss_aux1: 3.5542, loss_aux2: 4.8111, loss_aux3: 7.8405
INFO train_amp.py(372): iter: 29/150000, lr: 0.000059, eta: 12 days, 15:36:47, time: 7.11, loss: 30.2502, loss_pre: 10.6830, loss_aux0: 3.6155, loss_aux1: 3.4857, loss_aux2: 4.1635, loss_aux3: 8.3023
INFO train_amp.py(372): iter: 30/150000, lr: 0.000059, eta: 12 days, 16:17:07, time: 7.79, loss: 30.5259, loss_pre: 9.9546, loss_aux0: 3.8016, loss_aux1: 3.4386, loss_aux2: 4.7606, loss_aux3: 8.5706
INFO train_amp.py(372): iter: 31/150000, lr: 0.000059, eta: 12 days, 16:26:17, time: 7.42, loss: 29.8061, loss_pre: 10.9217, loss_aux0: 3.5402, loss_aux1: 3.5774, loss_aux2: 4.3087, loss_aux3: 7.4581
INFO train_amp.py(372): iter: 32/150000, lr: 0.000059, eta: 12 days, 16:42:01, time: 7.52, loss: 27.6830, loss_pre: 10.5277, loss_aux0: 3.5906, loss_aux1: 3.6584, loss_aux2: 4.2810, loss_aux3: 5.6253
INFO train_amp.py(372): iter: 33/150000, lr: 0.000059, eta: 12 days, 16:40:48, time: 7.30, loss: 35.1169, loss_pre: 15.6186, loss_aux0: 3.6668, loss_aux1: 3.3573, loss_aux2: 4.1107, loss_aux3: 8.3635
INFO train_amp.py(372): iter: 34/150000, lr: 0.000059, eta: 12 days, 16:11:56, time: 6.91, loss: 33.4387, loss_pre: 12.4377, loss_aux0: 3.5466, loss_aux1: 3.3214, loss_aux2: 4.8231, loss_aux3: 9.3100
INFO train_amp.py(372): iter: 35/150000, lr: 0.000060, eta: 12 days, 15:38:49, time: 6.83, loss: 32.3327, loss_pre: 12.1566, loss_aux0: 3.8155, loss_aux1: 3.5177, loss_aux2: 4.8456, loss_aux3: 7.9973
INFO train_amp.py(372): iter: 36/150000, lr: 0.000060, eta: 12 days, 15:00:55, time: 6.73, loss: 37.0099, loss_pre: 14.9720, loss_aux0: 3.5559, loss_aux1: 3.1686, loss_aux2: 3.8490, loss_aux3: 11.4644
INFO train_amp.py(372): iter: 37/150000, lr: 0.000060, eta: 12 days, 14:23:01, time: 6.70, loss: 30.7287, loss_pre: 10.2752, loss_aux0: 3.6287, loss_aux1: 3.4882, loss_aux2: 4.4494, loss_aux3: 8.8872
INFO train_amp.py(372): iter: 38/150000, lr: 0.000060, eta: 12 days, 20:07:09, time: 12.63, loss: 36.0086, loss_pre: 13.8689, loss_aux0: 3.5679, loss_aux1: 3.4000, loss_aux2: 4.2172, loss_aux3: 10.9547
INFO train_amp.py(372): iter: 39/150000, lr: 0.000060, eta: 12 days, 19:58:27, time: 7.26, loss: 31.0274, loss_pre: 10.1918, loss_aux0: 3.4925, loss_aux1: 3.3007, loss_aux2: 4.2168, loss_aux3: 9.8255
INFO train_amp.py(372): iter: 40/150000, lr: 0.000060, eta: 12 days, 19:58:54, time: 7.40, loss: 27.2293, loss_pre: 7.2581, loss_aux0: 3.6201, loss_aux1: 3.3783, loss_aux2: 3.9748, loss_aux3: 8.9979
INFO train_amp.py(372): iter: 41/150000, lr: 0.000060, eta: 12 days, 20:09:26, time: 7.57, loss: 23.6917, loss_pre: 7.8794, loss_aux0: 3.5067, loss_aux1: 3.0828, loss_aux2: 3.9924, loss_aux3: 5.2303
INFO train_amp.py(372): iter: 42/150000, lr: 0.000061, eta: 12 days, 20:29:58, time: 7.75, loss: 27.9144, loss_pre: 9.8565, loss_aux0: 3.6240, loss_aux1: 2.9348, loss_aux2: 3.3092, loss_aux3: 8.1900
INFO train_amp.py(372): iter: 43/150000, lr: 0.000061, eta: 12 days, 20:07:37, time: 7.01, loss: 30.7944, loss_pre: 11.3958, loss_aux0: 4.0185, loss_aux1: 3.1346, loss_aux2: 3.8982, loss_aux3: 8.3473
INFO train_amp.py(372): iter: 44/150000, lr: 0.000061, eta: 12 days, 19:38:49, time: 6.88, loss: 32.4811, loss_pre: 11.4477, loss_aux0: 3.5549, loss_aux1: 3.2127, loss_aux2: 5.1348, loss_aux3: 9.1310
INFO train_amp.py(372): iter: 45/150000, lr: 0.000061, eta: 12 days, 19:34:55, time: 7.32, loss: 22.0411, loss_pre: 6.4109, loss_aux0: 3.6281, loss_aux1: 2.9813, loss_aux2: 3.1586, loss_aux3: 5.8623
INFO train_amp.py(372): iter: 46/150000, lr: 0.000061, eta: 12 days, 19:34:27, time: 7.38, loss: 22.6817, loss_pre: 7.5206, loss_aux0: 3.4171, loss_aux1: 2.9178, loss_aux2: 3.2069, loss_aux3: 5.6194
INFO train_amp.py(372): iter: 47/150000, lr: 0.000061, eta: 12 days, 19:50:59, time: 7.70, loss: 25.8167, loss_pre: 8.9060, loss_aux0: 3.3536, loss_aux1: 3.0236, loss_aux2: 4.0797, loss_aux3: 6.4538
INFO train_amp.py(372): iter: 48/150000, lr: 0.000061, eta: 12 days, 19:54:18, time: 7.46, loss: 34.2878, loss_pre: 14.5822, loss_aux0: 3.7130, loss_aux1: 2.8115, loss_aux2: 4.2968, loss_aux3: 8.8843
INFO train_amp.py(372): iter: 49/150000, lr: 0.000062, eta: 12 days, 20:12:28, time: 7.76, loss: 24.2402, loss_pre: 7.9881, loss_aux0: 3.6174, loss_aux1: 3.1010, loss_aux2: 3.7646, loss_aux3: 5.7692
INFO train_amp.py(372): iter: 50/150000, lr: 0.000062, eta: 12 days, 20:10:49, time: 7.37, loss: 33.1295, loss_pre: 11.5736, loss_aux0: 3.5574, loss_aux1: 3.1578, loss_aux2: 5.3138, loss_aux3: 9.5268
INFO train_amp.py(372): iter: 51/150000, lr: 0.000062, eta: 12 days, 19:51:59, time: 7.01, loss: 31.5837, loss_pre: 12.1407, loss_aux0: 3.3626, loss_aux1: 2.6135, loss_aux2: 4.7992, loss_aux3: 8.6677
INFO train_amp.py(372): iter: 52/150000, lr: 0.000062, eta: 12 days, 19:32:47, time: 6.99, loss: 27.9824, loss_pre: 9.5265, loss_aux0: 3.3478, loss_aux1: 2.6340, loss_aux2: 4.6287, loss_aux3: 7.8453
INFO train_amp.py(372): iter: 53/150000, lr: 0.000062, eta: 12 days, 19:20:49, time: 7.13, loss: 25.4643, loss_pre: 9.5181, loss_aux0: 3.4187, loss_aux1: 3.0444, loss_aux2: 3.9862, loss_aux3: 5.4969
INFO train_amp.py(372): iter: 54/150000, lr: 0.000062, eta: 12 days, 19:34:45, time: 7.69, loss: 28.0432, loss_pre: 8.4902, loss_aux0: 3.2518, loss_aux1: 3.3559, loss_aux2: 5.6298, loss_aux3: 7.3155
INFO train_amp.py(372): iter: 55/150000, lr: 0.000062, eta: 12 days, 19:59:58, time: 7.95, loss: 25.3992, loss_pre: 8.7487, loss_aux0: 3.2469, loss_aux1: 2.8459, loss_aux2: 3.9195, loss_aux3: 6.6381
INFO train_amp.py(372): iter: 56/150000, lr: 0.000063, eta: 12 days, 20:04:19, time: 7.50, loss: 28.0604, loss_pre: 11.1025, loss_aux0: 3.2592, loss_aux1: 2.7108, loss_aux2: 3.6011, loss_aux3: 7.3868
INFO train_amp.py(372): iter: 57/150000, lr: 0.000063, eta: 12 days, 20:01:18, time: 7.33, loss: 26.8228, loss_pre: 8.4800, loss_aux0: 3.5284, loss_aux1: 2.9779, loss_aux2: 4.7866, loss_aux3: 7.0500
INFO train_amp.py(372): iter: 58/150000, lr: 0.000063, eta: 12 days, 19:59:18, time: 7.35, loss: 22.7868, loss_pre: 7.5129, loss_aux0: 3.2528, loss_aux1: 2.7176, loss_aux2: 3.5554, loss_aux3: 5.7481
INFO train_amp.py(372): iter: 59/150000, lr: 0.000063, eta: 12 days, 19:44:57, time: 7.05, loss: 28.1259, loss_pre: 8.0131, loss_aux0: 3.4421, loss_aux1: 3.0565, loss_aux2: 5.8602, loss_aux3: 7.7539
INFO train_amp.py(372): iter: 60/150000, lr: 0.000063, eta: 12 days, 19:35:11, time: 7.15, loss: 30.1052, loss_pre: 10.5735, loss_aux0: 3.3874, loss_aux1: 2.7524, loss_aux2: 4.8125, loss_aux3: 8.5795
INFO train_amp.py(372): iter: 61/150000, lr: 0.000063, eta: 12 days, 19:24:45, time: 7.13, loss: 21.2601, loss_pre: 7.1363, loss_aux0: 3.5284, loss_aux1: 2.6396, loss_aux2: 3.8759, loss_aux3: 4.0798
INFO train_amp.py(372): iter: 62/150000, lr: 0.000063, eta: 12 days, 19:19:52, time: 7.26, loss: 29.8325, loss_pre: 12.4933, loss_aux0: 3.8812, loss_aux1: 2.4124, loss_aux2: 4.1738, loss_aux3: 6.8720
INFO train_amp.py(372): iter: 63/150000, lr: 0.000064, eta: 12 days, 19:25:15, time: 7.52, loss: 19.3233, loss_pre: 6.2751, loss_aux0: 3.3196, loss_aux1: 2.3205, loss_aux2: 3.0728, loss_aux3: 4.3353
INFO train_amp.py(372): iter: 64/150000, lr: 0.000064, eta: 12 days, 19:46:17, time: 7.93, loss: 24.4504, loss_pre: 8.0324, loss_aux0: 3.4799, loss_aux1: 2.1944, loss_aux2: 4.2932, loss_aux3: 6.4505
INFO train_amp.py(372): iter: 65/150000, lr: 0.000064, eta: 12 days, 20:00:03, time: 7.76, loss: 22.5511, loss_pre: 7.6038, loss_aux0: 3.3695, loss_aux1: 2.3889, loss_aux2: 3.1236, loss_aux3: 6.0653
INFO train_amp.py(372): iter: 66/150000, lr: 0.000064, eta: 12 days, 20:10:15, time: 7.67, loss: 22.9519, loss_pre: 7.9142, loss_aux0: 3.3515, loss_aux1: 2.5112, loss_aux2: 4.0978, loss_aux3: 5.0772
INFO train_amp.py(372): iter: 67/150000, lr: 0.000064, eta: 12 days, 20:14:07, time: 7.51, loss: 31.4807, loss_pre: 12.2674, loss_aux0: 3.7464, loss_aux1: 2.7758, loss_aux2: 4.3034, loss_aux3: 8.3876
INFO train_amp.py(372): iter: 68/150000, lr: 0.000064, eta: 12 days, 19:55:18, time: 6.88, loss: 24.2229, loss_pre: 8.1037, loss_aux0: 3.3550, loss_aux1: 2.8223, loss_aux2: 3.9488, loss_aux3: 5.9931
INFO train_amp.py(372): iter: 69/150000, lr: 0.000064, eta: 12 days, 19:38:44, time: 6.93, loss: 23.1135, loss_pre: 8.0629, loss_aux0: 3.4160, loss_aux1: 2.6504, loss_aux2: 4.2991, loss_aux3: 4.6852
INFO train_amp.py(372): iter: 70/150000, lr: 0.000065, eta: 12 days, 19:42:48, time: 7.51, loss: 21.1906, loss_pre: 5.8665, loss_aux0: 3.4531, loss_aux1: 2.7588, loss_aux2: 4.1910, loss_aux3: 4.9212
INFO train_amp.py(372): iter: 71/150000, lr: 0.000065, eta: 12 days, 19:47:04, time: 7.52, loss: 22.7395, loss_pre: 6.0749, loss_aux0: 3.4749, loss_aux1: 2.6693, loss_aux2: 4.6033, loss_aux3: 5.9171
INFO train_amp.py(372): iter: 72/150000, lr: 0.000065, eta: 12 days, 19:49:39, time: 7.47, loss: 21.3156, loss_pre: 6.7630, loss_aux0: 3.2497, loss_aux1: 2.6421, loss_aux2: 3.6267, loss_aux3: 5.0342
INFO train_amp.py(372): iter: 73/150000, lr: 0.000065, eta: 12 days, 19:44:19, time: 7.24, loss: 23.1217, loss_pre: 7.4137, loss_aux0: 3.5144, loss_aux1: 2.8934, loss_aux2: 4.2143, loss_aux3: 5.0859
INFO train_amp.py(372): iter: 74/150000, lr: 0.000065, eta: 12 days, 19:42:25, time: 7.34, loss: 23.0703, loss_pre: 6.6851, loss_aux0: 3.3525, loss_aux1: 2.6911, loss_aux2: 3.4315, loss_aux3: 6.9102
INFO train_amp.py(372): iter: 75/150000, lr: 0.000065, eta: 12 days, 22:27:15, time: 12.41, loss: 21.7426, loss_pre: 4.7793, loss_aux0: 2.9132, loss_aux1: 2.8367, loss_aux2: 5.1748, loss_aux3: 6.0386
INFO train_amp.py(372): iter: 76/150000, lr: 0.000066, eta: 12 days, 22:21:21, time: 7.28, loss: 22.5632, loss_pre: 6.4029, loss_aux0: 3.2976, loss_aux1: 2.8380, loss_aux2: 4.3525, loss_aux3: 5.6722
INFO train_amp.py(372): iter: 77/150000, lr: 0.000066, eta: 12 days, 22:16:09, time: 7.29, loss: 26.7657, loss_pre: 7.5154, loss_aux0: 3.3462, loss_aux1: 2.5870, loss_aux2: 5.2920, loss_aux3: 8.0250
INFO train_amp.py(372): iter: 78/150000, lr: 0.000066, eta: 15 days, 13:59:49, time: 128.34, loss: 21.6607, loss_pre: 7.0190, loss_aux0: 3.3186, loss_aux1: 2.4600, loss_aux2: 3.6760, loss_aux3: 5.1871
INFO train_amp.py(372): iter: 79/150000, lr: 0.000066, eta: 15 days, 13:28:12, time: 7.97, loss: 25.7186, loss_pre: 9.5181, loss_aux0: 3.3134, loss_aux1: 2.8295, loss_aux2: 3.4680, loss_aux3: 6.5897
INFO train_amp.py(372): iter: 80/150000, lr: 0.000066, eta: 15 days, 12:46:40, time: 7.63, loss: 22.1011, loss_pre: 7.3473, loss_aux0: 3.3451, loss_aux1: 2.3484, loss_aux2: 4.0349, loss_aux3: 5.0253
INFO train_amp.py(372): iter: 81/150000, lr: 0.000066, eta: 15 days, 12:03:45, time: 7.55, loss: 21.5693, loss_pre: 6.7293, loss_aux0: 3.2398, loss_aux1: 2.2040, loss_aux2: 4.2674, loss_aux3: 5.1288
INFO train_amp.py(372): iter: 82/150000, lr: 0.000066, eta: 15 days, 11:24:33, time: 7.64, loss: 21.9764, loss_pre: 5.8128, loss_aux0: 3.2662, loss_aux1: 2.4087, loss_aux2: 4.3132, loss_aux3: 6.1756
INFO train_amp.py(372): iter: 83/150000, lr: 0.000067, eta: 15 days, 10:27:54, time: 7.02, loss: 21.9463, loss_pre: 6.7221, loss_aux0: 3.3634, loss_aux1: 2.3106, loss_aux2: 4.1660, loss_aux3: 5.3841
INFO train_amp.py(372): iter: 84/150000, lr: 0.000067, eta: 15 days, 9:08:04, time: 6.19, loss: 21.0998, loss_pre: 6.6697, loss_aux0: 3.2665, loss_aux1: 2.1224, loss_aux2: 3.3948, loss_aux3: 5.6465
INFO train_amp.py(372): iter: 85/150000, lr: 0.000067, eta: 15 days, 7:59:46, time: 6.52, loss: 25.1842, loss_pre: 7.2511, loss_aux0: 3.3386, loss_aux1: 2.4746, loss_aux2: 4.0064, loss_aux3: 8.1135
INFO train_amp.py(372): iter: 86/150000, lr: 0.000067, eta: 15 days, 7:19:12, time: 7.43, loss: 19.0992, loss_pre: 5.8901, loss_aux0: 3.2303, loss_aux1: 2.2618, loss_aux2: 3.2558, loss_aux3: 4.4612
INFO train_amp.py(372): iter: 87/150000, lr: 0.000067, eta: 15 days, 6:25:05, time: 6.92, loss: 15.6678, loss_pre: 3.8921, loss_aux0: 3.2359, loss_aux1: 2.6082, loss_aux2: 2.8276, loss_aux3: 3.1040
INFO train_amp.py(372): iter: 88/150000, lr: 0.000067, eta: 15 days, 5:23:03, time: 6.59, loss: 24.3898, loss_pre: 6.9931, loss_aux0: 3.3602, loss_aux1: 2.3558, loss_aux2: 4.4994, loss_aux3: 7.1813
