INFO train_amp.py(360): iter: 26/150000, lr: 0.000058, eta: 10 days, 19:37:49, time: 6.55, loss: 26.3696, loss_pre: 8.5378, loss_aux0: 3.1230, loss_aux1: 2.3745, loss_aux2: 5.5713, loss_aux3: 6.7630
INFO train_amp.py(360): iter: 27/150000, lr: 0.000059, eta: 10 days, 20:03:13, time: 6.52, loss: 25.9264, loss_pre: 8.4781, loss_aux0: 3.1117, loss_aux1: 2.6571, loss_aux2: 4.8823, loss_aux3: 6.7972
INFO train_amp.py(360): iter: 28/150000, lr: 0.000059, eta: 10 days, 20:40:57, time: 6.68, loss: 29.7694, loss_pre: 12.1308, loss_aux0: 3.0430, loss_aux1: 2.5629, loss_aux2: 4.1912, loss_aux3: 7.8414
INFO train_amp.py(360): iter: 29/150000, lr: 0.000059, eta: 10 days, 21:08:17, time: 6.59, loss: 28.5620, loss_pre: 10.1685, loss_aux0: 3.1286, loss_aux1: 2.3759, loss_aux2: 4.1275, loss_aux3: 8.7616
INFO train_amp.py(360): iter: 30/150000, lr: 0.000059, eta: 10 days, 21:30:24, time: 6.54, loss: 27.0123, loss_pre: 9.5980, loss_aux0: 2.8854, loss_aux1: 2.1526, loss_aux2: 4.2717, loss_aux3: 8.1046
INFO train_amp.py(360): iter: 31/150000, lr: 0.000059, eta: 10 days, 21:41:22, time: 6.42, loss: 23.4458, loss_pre: 6.7033, loss_aux0: 3.2159, loss_aux1: 2.6917, loss_aux2: 3.8928, loss_aux3: 6.9421
INFO train_amp.py(360): iter: 32/150000, lr: 0.000059, eta: 10 days, 21:47:49, time: 6.37, loss: 21.4429, loss_pre: 6.7293, loss_aux0: 3.1031, loss_aux1: 2.1821, loss_aux2: 3.8534, loss_aux3: 5.5749
INFO train_amp.py(360): iter: 33/150000, lr: 0.000059, eta: 10 days, 21:54:48, time: 6.38, loss: 27.3564, loss_pre: 9.4471, loss_aux0: 3.0648, loss_aux1: 2.7436, loss_aux2: 3.7758, loss_aux3: 8.3251
INFO train_amp.py(360): iter: 34/150000, lr: 0.000059, eta: 10 days, 22:11:45, time: 6.53, loss: 23.1903, loss_pre: 6.6740, loss_aux0: 3.2204, loss_aux1: 2.4461, loss_aux2: 4.0193, loss_aux3: 6.8306
INFO train_amp.py(360): iter: 35/150000, lr: 0.000060, eta: 10 days, 22:18:33, time: 6.39, loss: 29.4601, loss_pre: 10.2679, loss_aux0: 3.1604, loss_aux1: 2.9591, loss_aux2: 3.8932, loss_aux3: 9.1794
INFO train_amp.py(360): iter: 36/150000, lr: 0.000060, eta: 10 days, 22:27:47, time: 6.44, loss: 32.1574, loss_pre: 10.8461, loss_aux0: 3.0820, loss_aux1: 2.9116, loss_aux2: 5.2050, loss_aux3: 10.1127
INFO train_amp.py(360): iter: 37/150000, lr: 0.000060, eta: 10 days, 22:14:34, time: 6.10, loss: 25.7936, loss_pre: 8.7701, loss_aux0: 3.0759, loss_aux1: 2.4384, loss_aux2: 3.8304, loss_aux3: 7.6788
INFO train_amp.py(366): Training completed.
